Source, Target, Weight, Common_Token_Cnt
15849, 15849, 0.379095, 4
15363, 15368, 0.038462, 1
9738, 9738, 0.500742, 2
15359, 21439, 0.062500, 1
10298, 10298, 0.503071, 3
9125, 9125, 0.500929, 2
17333, 17333, 0.504341, 3
14876, 14877, 0.250928, 2
12955, 12955, 0.501808, 2
21495, 21495, 0.203907, 3
9192, 11862, 0.333333, 1
12963, 12964, 0.142857, 1
15948, 15949, 0.500000, 1
12928, 12929, 0.500000, 1
15104, 15121, 0.014286, 1
14822, 14827, 0.071429, 1
15831, 15849, 0.017984, 2
16115, 16115, 0.336601, 2
12055, 12055, 0.464956, 3
9549, 9553, 0.200000, 1
15543, 15544, 0.090909, 1
13189, 13189, 0.277778, 2
10964, 10965, 0.197375, 6
21493, 21493, 0.200742, 2
15128, 15149, 0.014286, 1
14770, 15844, 0.017241, 1
14495, 14496, 0.200000, 1
19663, 19663, 0.666667, 2
11172, 20986, 0.333333, 1
15119, 15121, 0.014286, 1
11717, 11719, 0.112040, 2
12086, 12087, 0.250000, 1
18905, 18905, 0.502674, 2
10774, 10776, 0.200000, 1
13641, 13643, 0.111111, 1
9072, 9072, 0.383759, 4
21348, 21348, 0.502016, 2
9081, 9081, 1.000000, 2
9638, 9639, 0.500000, 1
17176, 17176, 0.611111, 2
19128, 19129, 0.250000, 1
21210, 21216, 0.055556, 1
18597, 21431, 0.011111, 1
11354, 11354, 0.252005, 3
15767, 15768, 0.250000, 1
14343, 14391, 0.017241, 1
17084, 17084, 1.000000, 2
14979, 14980, 0.500000, 1
19167, 19169, 0.076923, 1
16407, 16410, 0.111111, 1
13510, 13511, 0.341764, 3
19970, 19975, 0.055556, 1
14013, 14013, 0.666667, 2
9386, 21331, 0.033333, 1
16656, 21281, 0.111111, 1
11287, 11287, 0.505313, 3
16830, 19429, 0.045455, 1
12601, 14917, 0.067409, 2
9701, 21050, 0.333333, 1
15098, 15141, 0.014286, 1
10684, 10697, 0.029412, 1
13609, 13610, 0.500000, 1
19964, 19975, 0.055556, 1
14357, 14370, 0.017241, 1
16632, 16632, 0.334262, 2
16832, 17918, 0.142857, 1
15130, 15132, 0.014286, 1
13287, 14341, 0.079741, 2
12080, 12080, 0.296429, 3
11052, 20239, 0.020000, 1
14993, 16484, 0.250000, 1
14385, 14388, 0.017241, 1
14904, 15272, 0.028571, 1
20920, 20920, 0.444444, 2
12612, 12612, 0.833333, 2
18491, 18494, 0.250000, 1
17898, 17898, 0.700000, 2
10381, 10381, 0.833333, 2
20040, 20045, 0.100000, 1
16745, 16745, 0.202020, 2
14369, 14371, 0.020775, 2
18591, 18593, 0.166667, 1
21601, 21601, 0.500742, 2
10695, 19880, 0.029412, 1
19698, 19698, 0.193272, 5
15098, 19557, 0.014286, 1
9291, 9291, 0.502083, 2
21427, 21539, 0.011111, 1
16094, 16095, 0.508431, 4
14864, 14864, 0.958333, 3
12718, 12719, 0.201808, 2
21584, 21584, 0.202381, 2
20630, 20630, 0.500742, 2
20545, 20545, 0.250928, 2
9750, 9750, 0.348782, 3
10680, 19880, 0.029412, 1
13860, 13861, 0.250000, 2
13785, 13786, 0.500000, 1
13089, 21433, 0.017857, 1
15089, 15090, 0.016422, 2
13431, 13434, 0.090909, 1
9247, 20735, 0.076923, 1
16740, 16750, 0.090909, 1
18566, 18567, 0.250000, 1
20941, 20970, 0.029412, 1
15762, 15762, 0.502045, 2
16752, 16752, 0.204220, 3
13070, 13071, 0.200000, 1
21681, 21682, 0.500000, 1
9083, 20792, 0.333333, 1
14377, 21193, 0.333333, 1
9141, 15271, 0.058824, 1
15430, 15431, 0.111111, 1
18136, 18137, 0.174074, 2
11109, 11109, 0.852564, 3
15376, 17274, 0.043478, 1
13834, 16415, 0.018868, 1
14415, 14415, 0.200742, 2
12639, 12639, 0.364162, 3
12130, 12134, 0.100000, 1
9689, 9691, 0.424242, 2
13465, 13466, 0.666667, 2
20040, 20041, 0.100000, 1
10498, 10498, 0.502045, 2
16852, 16852, 0.169697, 2
15087, 15150, 0.014286, 1
15182, 15843, 0.017241, 1
13127, 21569, 0.166667, 1
19002, 19003, 0.100000, 1
13582, 13582, 0.611111, 2
14047, 14051, 0.166667, 1
19930, 21330, 0.066667, 1
16841, 16843, 0.201808, 2
13690, 13695, 0.062500, 1
14977, 14978, 0.500000, 1
13706, 13707, 0.250000, 1
19814, 19815, 0.250000, 1
11175, 11178, 0.090909, 1
18698, 18698, 0.277778, 2
13435, 21433, 0.017857, 1
17606, 17615, 0.055556, 1
11827, 11827, 0.501263, 2
9215, 9215, 0.337344, 3
19096, 19096, 0.500742, 2
9094, 10321, 0.014706, 1
15316, 21572, 0.058824, 1
14561, 14561, 0.128906, 2
15108, 15134, 0.014286, 1
11439, 19551, 0.125000, 1
21252, 21563, 0.333333, 1
10697, 10700, 0.029412, 1
15463, 21429, 0.090909, 1
19161, 19162, 0.250742, 2
13506, 13506, 0.085953, 3
18511, 18512, 0.351190, 2
12492, 12492, 0.543478, 2
15090, 15127, 0.014286, 1
16110, 18398, 0.066667, 1
16196, 16198, 0.250000, 1
15832, 15832, 0.108150, 2
21483, 21486, 0.200000, 1
11158, 11767, 0.011905, 1
10700, 19284, 0.166667, 1
11368, 11368, 0.334262, 2
17426, 17430, 0.030303, 1
15098, 15102, 0.014286, 1
13406, 13409, 0.090909, 1
10627, 10628, 0.090909, 1
18362, 19299, 0.090909, 1
15257, 15272, 0.028571, 1
18450, 20129, 0.166667, 1
9409, 9409, 0.750929, 3
10712, 19295, 0.250000, 1
10697, 10704, 0.029412, 1
14343, 14356, 0.017241, 1
15112, 15124, 0.014286, 1
9564, 9565, 0.500000, 1
9044, 9044, 0.339421, 3
12784, 12784, 0.502137, 2
19660, 19661, 0.500000, 1
13287, 14369, 0.017241, 1
19758, 19758, 0.277027, 2
17841, 17841, 0.334596, 2
15142, 17418, 0.090909, 1
13667, 13670, 0.166667, 1
10645, 15137, 0.015625, 1
12676, 12678, 0.142857, 1
19433, 19695, 0.045455, 1
10690, 15370, 0.058824, 1
17903, 21433, 0.017857, 1
18799, 18807, 0.068024, 2
18896, 18898, 0.127083, 2
20618, 20618, 0.502137, 2
